"Question"	"Answer"
"What would a 4-bit ripple-carry adder made of 1-bit full adders look like?"	"A horizontal chain of 4 full adders. Each takes a pair of bits plus the previous adder's carry-out as its carry-in, and emits a sum bit plus a carry-out that feeds the next adder.<br><br><img src=""ripple-carry-adder.png"" alt=""4-bit ripple-carry adder"">"
"Walk through the calculation of the area taken up by an int8 × int8 multiply-accumulate. Relevant gate counts: full adder = 1.0, 2:1 mux = 0.3."	"Consider the simpler 4×4 case: \(1010 \cdot 1110 + z\) (with \(z\) the accumulate).<br><br>This breaks down into<br><br>\[1 \cdot (1110 \ll 3) + 0 \cdot (1110 \ll 2) + 1 \cdot (1110 \ll 1) + 0 \cdot 1110 + z.\]<br><br>Each of those is in turn a mux:<br><br>\[(1\,?\,1110 \ll 3 : 0) + (0\,?\,1110 \ll 2 : 0) + (1\,?\,1110 \ll 1 : 0) + (0\,?\,1110 : 0) + z.\]<br><br>So you need as many adds and muxes as there are digits in the first number.<br><br>The width of both gates has to be twice the width of the biggest number, since an 8-bit × 8-bit product can be 16 bits wide.<br><br>\[(8 \cdot 0.3 \cdot 16) + (8 \cdot 1.0 \cdot 16) = 8 \cdot 1.3 \cdot 16 = 166.4.\]"
"Visualize how you can use a fused multiply-add to compute the dot product of two vectors."	"For two length-\(N\) vectors, run \(N\) sequential FMAs: \(\text{acc} \leftarrow a_i \cdot b_i + \text{acc}\) for \(i = 0, \dots, N - 1\). The accumulator ends up holding \(\sum_i a_i b_i\).<br><br><img src=""fma-dot-product.png"" alt=""Chained FMAs computing a dot product"">"
"Walk through the 5 steps of the RTL-to-GDS PD flow."	"1. Logic synthesis: compile RTL → technology-independent graph of universal gates (NAND-ish).<br>2. Technology mapping: collapse the graph by pattern-matching the larger patterns of TSMC's standard cell library onto it (""regex for trees"") → technology-dependent netlist.<br>3. Placement: embed cells in 2D minimizing wire length (spring / cost-function optimization).<br>4. Routing: connect placed cells with wires on stacked copper layers (Manhattan-only).<br>5. GDS-out: lower placement + routing to polygons (doping, etch, metal) → mask data for TSMC."
"Why can two chips on the same TSMC node run at 4 GHz vs 5 GHz?"	"Clock speed is set by the critical path — the longest delay between any two registers (wire plus logic cost). Two chips on the same node can have a different layout, affecting this quantity."
"What is the tradeoff between registers and SRAM?"	"SRAM is much smaller per bit but rigid (1R xor 1W per cycle); register files are bigger per bit but flexible (cheap to add ports, no minimum size)."
"Why can you only read OR write one column of an SRAM array per cycle?"	"Because of how it's implemented: an SRAM is a hand-designed macro with exactly one decoder + one set of bit lines wired into the grid.<br><br><img src=""sram-array.png"" alt=""SRAM array layout: one decoder, shared word/bit lines"">"
"What is the difference between chemical vapor deposition and thermal oxidation?"	"In thermal oxidation, you're actually reacting with the silicon directly to make a new compound (Si -> SiO2) whereas in chemical vapor deposition, you're reacting some precursor gas to accumulate atop the existing material, not by turning it into something"
"Here is the before and after of shallow trench isolation formation. Why couldn't we have just used photoresist directly on top of the pad oxide to make the trench? Why is a nitride needed?<br><br><img src=""sti-formation.png"" alt=""Shallow trench isolation formation: before and after the trench etch""><br><br><img src=""sti-fill-cmp.png"" alt=""Oxide fill, CMP, and nitride strip producing the final STI structure"">"	"Without the nitride atop to prevent thermal oxidation atop the corners of the trench, you'd create bonds there which are bent. Even once you mechanically polish them atop, they'd be vulnerable to mechanical stress, but with nitride atop they form clean molecular structures."
"Nodes below 7 nm often use a hard mask (like silicon nitride) as opposed to photoresist to block the ions during the well implants. Why is this?"	"<img src=""well-implants.png"" alt=""Well implants masked by photoresist""><br><br>As the NA (the concentration angle) of the lithography increases, you have to use thinner layers of photoresist, lest you have inward sloping edges because of light angle. Thin resist can't block high energy well implants."
"Why did we have to switch from naive SiO2 gates to high-K metal gates (eg. HfO2 for the dielectric and metals atop)?"	"As transistors got smaller, silicon dioxide would let too much current leak between the gate and the channel. High K metal gates have better capacitance."
"Why do modern transistor processes use a dummy gate that is replaced at the end with the actual gate stack?"	"The gate consists of several metals that are chosen to optimize the conductivity of the gate and threshold voltage of the device. They can melt and degrade when subjected to high temperature processes that occur at the beginning of transistor fabrication. Therefore, they are deposited last to avoid these high temperature steps."
"Explain the basic mechanism of atomic layer deposition (ALD)"	"The first precursor gas is passed over the wafer. It typically has a metal part and an organic part. The metal portion binds to the surface, forming a single layer with the organic sticking up. This process is self-limiting because binding only happens between the wafer and the metal, not between the metal and the organic. Next, the chamber is purged and the second precursor is introduced. This gas reacts with the dangling organics pulling off the organic part of the molecule and leaving a single atomic layer of the metal. This process is repeated for as many layers as desired."
"Until recently, copper is used for interconnects except for the end part that actually touches the transistor, which is made of tungsten. 1. why is tungsten used there? 2 why is copper used elsewhere."	"Copper diffuses so much that if it was directly touching the transistor, you'd worry about it damaging sensitive areas. So we used Tungsten there.<br><br>Tungsten has higher resistivity, so it would require more power for all the interconnects if we used tungsten all over."
"Why is ruthenium preferred over copper for interconnects, despite having more bulk resistivity? Give 2 reasons"	"Ruthenium is easier to etch than copper, which allows you to etch out air gaps (air has the lowest capacitance)<br><br>At nanoscale, ruthenium has lower resistance, because mean free path of an electron is lower, which means it accumulates and thus dissipates less energy between collisions"
"Explain the main difference between DUV and EUV masks"	"DUV masks are transmitting, meaning they selectively transmit or absorb light based on the pattern. Since every material absorbs EUV light, this approach cannot be used in the EUV case. Instead of transmitting, EUV masks must be reflective in the regions where the resist should be exposed."
"Name the main complexities of EUV masks and why they are so expensive ($10-15 million for full mask set). (1 out of 3 okay)"	"1. EUV masks are reflective, so the blank mask must be made of 40-50 alternating layers of silicon and molybdenum. This structure is hard to fabricate. 2. Patterning the mask requires a dedicated multi-beam electron lithography tool. Inspecting the mask for defects requires another dedicated high-resolution inspection tool. Mask yield is ~50% which increases cost. 3. To keep dust particles off the mask, a pellicle must be placed over the mask which must be ultra thin and temperature resilient."
"A high-NA EUV machine has an NA of 0.55. The theoretical maximum value for the NA is 1. What are the optical reasons EUV NA likely cannot scale much beyond 0.75? (1 out of 2 okay)"	"1. As the NA increases, the lenses become very large. Large lenses mean that the light will strike the lenses at a large angle. At large angles different polarizations of light are reflected differently. This reduces the contrast between the absorbing and reflecting parts of the mask. 2. The depth of field (DOF) quantifies what thickness of the resist is in focus during exposure. DOF ~ 1 / NA². Therefore, as the NA is increased, the DOF gets smaller, meaning a thinner resist must be used. Thinner resists are worse at blocking subsequent etching steps."
